score;best score
0.829599609;0.829599609
0.829599609;0.829599609
0.824730469;0.829599609
0.828439453;0.829599609
0.827220703;0.829599609
0.834046875;0.834046875
0.829027344;0.834046875
0.827220703;0.834046875
0.834046875;0.834046875
0.834046875;0.834046875
0.858054688;0.858054688
0.833623047;0.858054688
0.847003906;0.858054688
0.858054688;0.858054688
0.858054688;0.858054688
0.858054688;0.858054688
0.860427734;0.860427734
0.837037109;0.860427734
0.8564375;0.860427734
0.859693359;0.860427734
0.854082031;0.860427734
0.860427734;0.860427734
0.838214844;0.860427734
0.878277344;0.878277344
0.876808594;0.878277344
0.813869141;0.878277344
0.87553125;0.878277344
0.864792969;0.878277344
0.868886719;0.878277344
0.876017578;0.878277344
0.877042969;0.878277344
0.880132813;0.880132813
0.881630859;0.881630859
0.889798828;0.889798828
0.843357422;0.889798828
0.867707031;0.889798828
0.848613281;0.889798828
0.862728516;0.889798828
0.844726563;0.889798828
0.867544922;0.889798828
0.862876953;0.889798828
0.876804688;0.889798828
0.883435547;0.889798828
0.861064453;0.889798828
0.873941406;0.889798828
0.858007813;0.889798828
0.876804688;0.889798828
0.878302734;0.889798828
0.859429688;0.889798828
0.845460938;0.889798828
0.848232422;0.889798828
0.878302734;0.889798828
0.83675;0.889798828
0.868720703;0.889798828
0.876804688;0.889798828
0.878302734;0.889798828
0.842910156;0.889798828
0.898568359;0.898568359
0.873644531;0.898568359
0.878302734;0.898568359
0.889798828;0.898568359
0.887748047;0.898568359
0.878302734;0.898568359
0.855064453;0.898568359
0.852351563;0.898568359
0.866699219;0.898568359
0.878302734;0.898568359
0.856386719;0.898568359
0.866962891;0.898568359
0.876804688;0.898568359
0.834658203;0.898568359
0.878039063;0.898568359
0.861349609;0.898568359
0.861230469;0.898568359
0.876804688;0.898568359
0.861671875;0.898568359
0.889798828;0.898568359
0.878302734;0.898568359
0.878302734;0.898568359
0.881630859;0.898568359
